ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,views,label
18,3198.81484694,-10073.0240138,-2197.04893599,3319.75560331,-2088.04647957,-92.4751019281,1362.91320505,-818.095058464,115.123658082,-158.299628065,-15.6497831915,-127.212190575,-76.5055890902,23.9776444179,90.4278115674,67.9430608214,33.9089176877,31.1423415086,10.1091148019,7.4041791007,2014549,4
19,5530.96266022,-5853.51540028,-281.323771266,2651.18048547,894.198905465,-1263.82735925,-19.1999227225,-293.552356723,-382.832590421,-265.128848241,71.0406819469,-207.279983387,65.8256877848,118.254381209,49.0642056328,17.3266423539,35.7431288356,-3.5807342889,0.9611621966,2.2725411853,9268187,5
20,-246.357317383,-196.826621555,-106.541175449,-431.665582272,-39.5969839323,-637.52813184,254.214631151,-264.233490389,177.752792643,200.046095648,12.0223463927,-179.43456276,207.584659204,188.319612468,-48.0873365449,-57.8487154315,59.3731337605,13.1634663702,7.2937875403,1.72398052,1233822513,5
21,3145.45942004,-1771.86301446,-4257.40096365,-879.336701846,739.377280695,-1084.09188956,124.65606578,444.086955165,658.642617803,-396.379353716,-308.203986062,-73.2733994141,-205.49986808,-28.7484601465,-77.8158322276,151.18667533,-132.438038494,-70.5342575068,-15.625077787,-16.1346997013,15926,1
22,-7417.87210017,-269.19290815,696.088297816,-1189.91383575,282.56874667,-1023.97651186,-349.282468914,318.599349496,5.5284379792,114.313099519,-52.120506757,-120.765982057,-39.1949369109,3.3559947756,-13.4350606709,-96.5673497179,-38.0369507044,6.8234460548,16.1144444202,-0.1362205121,19462,1
23,-3325.48877154,-3226.7162763,-4031.89292996,-873.900300019,-1466.0887963,-431.928160201,858.766345681,-315.492345815,403.176992892,-291.991864135,-258.559813534,-96.5934715925,3.1695290831,-76.2415981825,-68.6101774426,16.5821038594,-20.6255737793,23.6688087179,18.3590743061,-43.2606075426,39627,2
24,520.739134602,-289.59960408,-2514.23455086,-1114.7444129,-597.447286168,-273.647584056,-183.326290966,-848.99648199,389.902274022,-92.5080177222,-95.0319596842,-121.126210806,-67.9381645423,38.1352271427,237.244926613,-72.3880097898,-23.338891645,1.8907742575,0.1871106933,1.3826550711,96507,3
25,-3873.6108588,-3414.2654159,-612.787532872,10.2324999372,-33.4912957023,-1134.33272416,325.335024488,340.003902296,560.286770438,-129.437560072,-323.389845413,-130.067118366,43.0093408659,-64.1663038753,25.4388437187,55.4788043155,-4.1841410103,5.8488529437,-20.8912949994,-4.0209841122,87030,3
26,-503.450185911,-7390.43607376,-4668.92227297,1338.57071773,-1165.22770393,119.339287472,-861.746105641,-332.632229515,777.695119407,-492.403362216,45.406452502,-169.568336698,-126.020603269,-57.5249716074,-7.4185130451,7.2385627063,-21.4380662623,-0.5287127906,-24.550732554,-39.7373931175,14169,1
27,352.981679194,-3500.74108626,-3944.88148768,-365.1336387,-864.094519925,-314.473952051,185.176780243,-141.570425022,770.246796785,-327.523976357,-181.211856819,-114.884583689,-68.3635856846,-106.958588713,-62.8640298355,14.0036670921,1.1810182983,19.6026870038,-28.2469690921,-30.4889302137,14838,1
