ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,views,label
10,675.101014508,-4829.36478532,734.179032704,1721.0746227,-935.856657448,-535.318372738,31.2033367901,411.579023902,5.1150377878,-131.03181205,13.7419885727,9.0834274302,-4.7467861171,16.2451840853,86.8594261931,-9.115398425,17.3426955092,-15.584832437,-11.2861365262,12.9554894479,4.097883456,-0.6304854781,-0.2165553456,0.4188987838,-1.2743410396,-5.07550405,-4.8255989302,-4.296155065,2.2659735784,3.4614415374,0.5591591067,-3.2724706556,2.3984999456,-0.2150999495,0.9281382745,0.7602481363,1.3910645205,1.9552873213,-0.8261664085,-0.9735057681,0.9789221624,0.6097304043,-0.5737668891,0.326220298,0.5206750835,0.1832737261,0.8457493987,-0.265332926,-0.0874665055,0.0451349031,4159775,5
11,-8139.14553509,-4215.81152747,1102.6091634,-348.942289116,-204.886708537,-1509.51709255,1358.12740728,-118.63059774,-635.951123618,-78.6622028761,-58.8735306284,20.3481241124,153.575544752,-38.6841873518,-5.0362377462,-28.153399258,18.0089668923,0.5495257902,-7.2302464939,12.6297883084,-1.6391119303,14.7272367022,1.2937683958,-7.8796729949,-1.1014424223,-2.0955621282,5.3121338484,-2.2043985963,-2.6720325113,2.1999237531,1.0829981742,-2.3474065224,0.952771471,0.2175106352,-0.4740276769,-2.1403960126,-0.4182129691,0.1752417501,0.538788984,1.3460321428,0.7095123449,-0.0540666876,-0.4785798862,-0.1277113864,0.1923065474,0.5813110336,-0.1647403378,0.2760904359,0.5054552984,-0.1271922639,6290874,5
12,9688.40824789,-433.706648403,-2630.80809333,209.67055146,-675.543003834,-67.054423771,-414.886492057,-77.7005565626,316.010096288,116.375796413,-199.588911666,58.0564135712,97.8181687719,-50.8973782655,83.1828417951,8.8059316398,-40.7077268832,9.4135963692,18.3339581728,-5.1313354277,12.1395184991,17.568705782,-6.5356802929,1.1859528238,-7.5002903469,3.0414769561,-2.1212201096,-3.2631432971,-6.7993406019,5.4510825025,-2.9155083921,-5.1045478478,-2.8942087764,0.1879752142,2.8944850516,-1.8111279211,1.2110200127,1.559681344,0.8894020611,-0.0976959162,0.5675752905,-0.3701417993,-0.7196531664,0.6256328333,-0.0820439532,0.1910101148,0.0517679343,-0.665003327,0.3612393483,0.2546028007,5560000,5
13,3044.00720846,-1630.70618006,377.070606414,664.034763672,-739.68411765,-304.369794766,704.211637238,-180.162540738,-328.77182237,346.242889545,181.808523496,125.593255609,-6.9182159532,-113.381674015,39.921687401,73.2798169602,41.1687621077,-2.9632571839,-4.6721815251,-5.130067122,22.2510219512,-8.2688633988,3.9695426548,3.1420949712,4.9139941317,0.2961511738,-0.8528451666,3.7958103861,-0.4054529697,-2.6444547818,-1.2566152382,-0.7581113316,0.1007451411,-1.6732646419,-1.0869528168,-1.0716652743,1.1269390261,0.4667308097,-1.0691538696,-1.4138025512,0.435321925,1.073251632,-0.4614139966,0.6554950003,-6.12992133083E-05,0.3463454162,-0.2440326684,-0.2157582532,0.0399082498,-0.1828354282,932848,4
14,-715.163134421,-3376.434236,-315.789611391,605.260045828,-1128.45243255,-873.284675149,1226.49011261,295.614489939,-74.4163880616,105.424054256,196.521992437,123.487418402,61.2824331724,-151.098870775,-28.2571834056,-41.8306892587,-7.6276761857,15.2571688843,10.5565236126,-35.1661035753,19.9958973125,2.3459748649,-2.9211411089,0.0809441144,6.6182907185,-0.177330495,-4.9310360495,9.7060943248,1.8201289156,-3.8791475992,0.0985366503,0.9655675193,1.1126142781,-1.5243805768,-0.8855342207,-2.0686378464,-0.1208606083,-0.4934391752,-0.7413877535,-0.6850665797,0.7594569455,0.60553886,-0.1860447707,-0.334515953,-0.2356425972,0.1834281307,-0.1523262969,0.2387294856,-0.3594649797,-0.0763224991,3090783,5
15,-1583.0168468,-3883.56037305,910.055476159,896.353825051,-667.11091261,-993.517697088,703.212974887,273.565153398,20.5670384479,269.607933843,47.1645182681,174.242268826,28.0263965537,-13.3399303939,-22.2518843716,39.3805233488,4.9918601957,-29.576209441,-4.493828137,3.9754505923,-7.6365013492,0.3986939467,-2.2359551868,-4.003714076,5.7625187833,-5.7746169627,-3.1033402487,-0.5208202254,-6.3835305476,6.6555879121,-3.6771685402,5.3116993235,-2.2861011131,1.1238713418,-0.8983091374,-1.0112784155,-1.4720138246,0.3241282637,-0.1707894599,0.3404698157,0.6348187769,0.6379051344,-0.5455866463,0.1310281768,0.3384579819,0.3313123846,-0.0998628195,-0.0821074431,-0.2113716211,-0.3067745034,6187211,5
16,1610.29505864,-5666.65716617,-820.741947537,1686.13148085,-348.304797763,-693.108885045,-228.528988213,-10.2188211273,-174.925219246,-83.8522295601,-184.551047355,90.0207607669,94.3418805847,47.3267575779,13.3535095371,3.0865426028,1.9614508591,-5.702400955,2.7346920577,-7.9395018237,-4.2287679211,-20.0006987316,-2.9610415734,-2.1604274662,-6.0246844471,-8.66480503,-3.1533518349,0.4057449587,0.2712450747,1.7472647143,-2.5272346198,-4.3101820702,3.5523185024,2.8228561944,0.9826705804,-0.9548486408,-2.2546042076,1.3779666424,-0.0873042459,-1.4035053933,0.9222850939,-0.3814379932,-0.2616675399,0.5696367817,0.110428876,0.4979711077,-0.1801770237,0.3832204758,0.0820677098,-0.2907106839,2221231,4
17,2603.38039657,-2138.31478836,-2514.60942963,-206.79623582,-1071.50415953,-505.81866019,498.599368081,703.732924989,44.0081943474,-155.214248659,5.2369208424,132.483660113,57.1505391481,-49.3186714538,-25.2360494344,67.0582044796,4.3285688255,-5.6537825806,-12.0053435247,10.7410365713,11.4782294336,-13.2400403466,-4.3471021765,-1.4112159873,5.0155418596,-2.1106042115,-5.3342770593,-7.3898590426,5.4990003398,5.6464527426,0.1029615529,0.6211925843,2.0644771555,-0.6834795076,0.741779582,1.8843204489,0.7892578169,0.2634630582,-0.26600168,-0.2857100339,0.6796885725,0.0712275033,0.3135396831,0.8706924922,0.7587139309,0.4886028775,-0.6667674291,-0.4723071632,-0.1933068942,-0.5151059257,1339444,4
18,3384.18652971,-9771.49746633,-2377.96092972,3311.67891033,-2066.01037632,-538.414276872,1243.61913473,-823.302093593,101.004722456,-110.603622839,-5.8791449757,-22.1125764609,96.371635731,-44.8061420141,66.083270407,38.9506330957,38.4217404318,9.7164684429,9.4195212253,-5.2991630809,2.1474763367,-9.4571162429,2.7569529758,4.3325107496,-5.7651261392,0.8547876673,0.1456087652,-1.1863703793,-1.1890543045,1.5316935157,-0.5149233564,-3.4482498078,-1.3210569414,0.5039268122,1.5413723295,-3.8091774141,-0.8683652919,-0.3183548132,-1.5658929271,-0.7813575277,0.4893391444,0.4166761968,-1.6086400169,-0.0617916718,-0.8549294822,-0.0808599101,0.4206058355,-0.3968924458,-0.2217924133,-0.1926551742,2014549,4
19,5688.62045734,-5550.77785523,-435.863087465,2648.25312698,1036.23293889,-1216.24788721,-203.693536619,-291.676007696,-405.86912951,-263.055221992,-81.0948495634,127.370265036,136.938861216,41.2178161107,25.193200397,24.4110691654,-13.9350118601,7.1123371813,-2.8091593469,-25.9403786801,-0.3547989601,2.0164599221,2.9891934959,-5.8409420111,-4.0936420075,-3.3053927481,2.5664563661,-0.4992418615,1.3038611848,3.1950525461,0.3927879315,-6.5502456356,0.1688421613,2.3996608428,0.5933912748,-0.1108772595,-1.5064709751,0.138703623,-0.0916541188,1.6413413329,-0.5388996911,0.2571202419,0.3507141739,0.5718951002,-0.1993259672,-0.2521396476,0.128203392,0.9473923198,0.4628876042,-0.4770359498,9268187,5
20,-180.689799535,-24.5284551802,57.8776917915,-458.769049355,75.9835156622,-680.204622525,180.623648012,-253.168768185,166.805935491,194.430748035,-30.2464517593,256.361112263,85.969027365,159.9026172,-64.8804159286,30.7774778434,3.500884169,12.0400782338,-2.1227399438,13.0251290005,-1.6692479185,24.1660951899,2.6138451381,-10.8550974003,2.578043923,14.4471290438,-5.6387944695,-1.1444481391,-4.0449604352,5.1086578602,-2.4708294779,-1.7850444037,0.3710358921,-2.748943349,0.1799997943,2.0968667978,3.2711776273,-1.3980688896,0.2272909575,0.0385587428,-0.7392844914,-1.2846883497,-1.2663721656,-0.8300928592,-0.2425217679,0.7912480737,-0.5597924075,-0.407901185,-0.1723965489,0.5274238313,1233822513,5
21,3175.97527644,-1500.80711762,-4142.6254763,-1115.3482493,809.576373492,-1133.07578717,19.1725722671,447.196358008,620.372799375,-366.956215702,289.543044263,-188.496794947,-69.7175651084,4.65487061,205.507244843,-106.834588787,-60.6742783858,-8.0273292135,-10.6800526177,-28.250639131,11.4520670891,-14.3514872626,-12.8011088714,-10.401992978,0.7095517658,-13.1945962927,8.5859684999,7.3543089597,2.2096187839,-5.5717560447,0.5132059046,-1.7294595087,8.8819715749,-0.1365126952,2.2915982676,-2.0487743121,1.3890001867,2.6221139124,-0.101753982,-0.9850677292,0.3404399748,-0.3234071951,0.9725009353,-1.0172032113,-0.9021700878,1.1532780987,-0.2880524404,0.7358517146,0.976251236,-0.21503857,15926,1
22,-7336.1394183,-235.072815457,1002.99442069,-1181.04537428,481.683271642,-905.947195252,-425.429003141,349.274913656,-26.8407007363,105.401842746,19.828717189,4.4224340535,-11.6732829313,-7.1561805457,-73.2869384045,-65.0458333086,-5.9246085157,22.4099151786,-2.2326508149,-35.4823390414,-12.8332976998,-7.7795113935,6.0522450963,-3.2201673611,-0.7655738596,2.0319427942,-3.0703735263,-7.7215571847,4.3893249061,3.630827313,-2.125859684,-2.7532131304,-1.0215773257,1.3620685371,1.0475574145,1.9282765499,-0.2873881481,0.0299030156,0.1234098581,0.9650438194,-1.5083303925,-0.9783273718,1.4994923708,0.2875790926,-0.9441786079,0.3367167423,0.0266976909,-0.4972510799,0.1996750172,0.0310068454,19462,1
23,-3276.94858353,-3057.81942032,-3817.29164264,-1041.90904909,-1411.69741364,-740.185072349,799.168063378,-309.171716227,367.670588526,-252.24808758,265.293575749,19.3083816286,-93.2585075374,-18.8499452504,32.9564186943,-28.0883352275,30.5860724587,24.115836904,-37.4622614944,11.5583827023,-28.0816958157,-13.4158759485,-4.7790827351,5.6477153408,10.6904849877,11.0758985315,0.5387014549,-0.5613491498,-4.2795018421,-2.1771150731,1.9397458718,0.8355220382,1.0713600277,0.3678188164,-2.712846784,1.3959486517,-0.1104908209,-0.2291007915,-1.5678530546,0.5879680737,-0.7337919685,-1.5528980646,0.7776423804,-0.2649501234,-1.2773471038,0.9433712936,-0.1452670778,-0.1303009228,0.2111013819,-0.0436976632,39627,2
24,546.398039076,-80.9233528434,-2323.02677294,-1260.44622025,-554.732813387,-379.813908343,-213.386615787,-845.740481057,384.507868732,-73.0841002352,68.8082470135,-39.409086189,190.707341675,-153.404591126,-48.3052648092,-50.3097102794,-2.7764135099,-3.641902141,-3.4236840692,44.7614933206,-5.9483737453,25.9008627183,2.3910229503,-12.9510631682,-1.1504915291,2.864231368,3.3827981231,2.6268076825,-2.3122829352,5.2715535552,0.2460028053,-2.1426068947,2.7498025687,-0.5007368889,-2.2845008324,1.0831067575,-1.7925972287,-0.0260692296,0.0637352703,0.4825561714,-2.1427022951,-0.3374409465,0.7860898114,-0.5998304118,-0.3852635832,-0.4392491818,0.1362003586,0.3248845725,-0.0756227117,-0.0127320807,96507,3
