data_set_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
34,-916.161179124,-2391.7092831518,-1651.781619896,-970.529472179,-110.8820874682,661.0736800764,833.7215193623,-108.1809915119,-103.8962162121,-360.0216864343,-100.3590148171,249.8032757746,17.1147417543,48.246958146,-100.6460964799,144.0260963288,14.6925929995,-28.8531850949,59.6476627058,-18.4415301358,37812,2
35,-3325.3713902342,1789.7054649491,-2794.9986002098,248.9634756727,1297.5103041618,854.5580681514,800.468590739,-411.979956807,-370.461277003,-48.233388956,-283.0640327675,59.4076174009,161.966841711,-133.3039810154,27.0190647669,24.8131976503,12.8547305122,-5.9729244272,-14.0393620351,2.3230806879,51226,2
36,-6465.2961835862,7083.0028451022,-1140.7609165455,-499.5849410901,412.654523655,-299.7145761631,948.912187375,-501.5252154679,77.4089387181,-105.5017586569,-18.9902220525,109.4259411444,-79.4658327354,127.3650733345,10.9600689659,24.2760273218,33.4487174703,-10.2651780744,-13.0600155744,-6.0513984719,15257,1
37,-4413.134689279,791.5636784452,-1779.4414176762,-497.2846252296,485.7728373005,150.580022508,529.2581964355,-131.8145421016,-49.9263558476,-90.2008366216,-250.5972113379,57.3108229853,-29.7265629594,16.9472070851,-28.7460497825,-34.1603660451,-7.7600419784,9.0259338453,-30.7471747258,-1.4205736907,45759,2
38,-3739.610004471,-4540.3354870434,1993.9823371324,-1875.118256095,-482.9308206558,300.0340578896,542.5279611246,-172.2141607803,-222.8244766409,169.6591584554,-280.8936629292,130.0729653426,47.8548241155,-65.8160731552,-19.582615789,-37.7992017504,-44.1970910424,-6.259604642,-31.917962428,6.3726619157,28116,2
39,-95.4832659507,-1070.8516200267,-3997.0205482277,-1292.686559403,-754.6154468932,998.2060560865,110.0451432973,-411.8740714222,115.4540569212,-307.5755357407,-34.0771935625,23.3588342761,25.47613282,35.5266384025,-80.4254286657,48.1778709651,33.944820252,-45.3348766755,-2.0758076332,6.4871752949,16162,1
40,-692.1076640773,1228.266485408,-2316.7485885729,-926.0506251285,-324.2842068319,-182.7116626331,450.1978117457,-62.9150116577,40.896341294,-90.3451609212,-111.5540887937,-69.9872360402,-41.4461785766,66.3011480494,-45.0640425607,17.0110797787,45.5418484281,-9.5197512995,-22.7432817654,10.4407148,25467,2
41,-4208.5700086563,3627.7688040047,-2710.5726880288,-405.6535755475,-239.3511713545,-281.6382773977,324.7857190317,-97.6105838611,82.7599555062,-54.4653310733,-5.6250114949,83.395522214,49.3450973641,17.9661242454,-48.1709606914,50.3578876606,18.7378113654,-14.427454787,-16.6375639998,8.6063758954,153856,3
42,-4532.6073348707,4245.4216786631,894.6892599747,-75.3461245762,1053.5238943555,-656.0286928758,128.2853225474,-164.0765087458,379.4801848214,96.5773990506,172.2726697473,30.0932206933,-98.2447286017,95.7169454594,-27.0188756476,32.5808903999,-40.2377427382,-13.1979616282,-16.7250622659,3.3087022225,3674101,5
43,-6627.2253581595,462.9996014186,-2064.7790676474,-909.2953654036,-843.7133920343,-0.2530512919,761.5941112138,-212.3619201796,-143.1839167266,173.2447444654,-120.1957690784,-1.6883703264,-122.2977981718,-15.8076624409,-10.7840665988,-1.7175987768,-34.1030302937,49.7402426259,14.6560549699,-13.2232130756,101218,3
44,-7936.6507263422,8115.6762267857,-2092.8530761206,150.1238829233,479.5828021098,-624.204626541,789.9679784108,-388.8425412874,63.1220948103,544.0065087718,386.8347383756,34.7419448695,-74.1482937433,-56.3975978097,-2.3892367777,-21.3479318273,21.6260356886,-24.6888040161,24.0642110009,-1.3193354659,2447353,5
45,-2912.0911694406,4810.7347247105,-1065.255333104,-937.3883673535,-430.417892768,-477.883842191,407.1595594386,-305.0389214624,342.4864936037,-141.3208857873,-127.8646677149,56.6466600013,76.6964741154,46.3847001514,17.736713468,4.4848370888,-5.8474296555,-7.5460647681,-14.5924111098,-3.6072536134,203601,3
46,-2727.3807152061,7383.8665228451,-1781.395129462,-474.3997417878,508.518295843,-159.0636265577,397.1746230389,-340.3986060783,-330.0030516136,184.6905627173,154.7818888914,10.3967297248,-161.9400047694,76.5742377758,-23.7038445138,-33.0050608118,22.2381169597,-16.8433156384,22.5682078756,4.5221341962,158726,3
47,6012.5502801159,1449.1218851211,4126.5200145256,3649.9039840719,6278.0139040629,328.6377859356,339.5548163189,1129.9482779937,213.9234147285,297.9995932584,-498.2610975618,290.5840100985,158.0374337271,85.7320605341,-56.4186113124,-112.5343277771,213.7227282568,-16.7033247924,13.7254796512,-15.5638871274,248952564,5
48,-10018.3692177667,7189.1417729734,-716.7973589367,-885.037174178,462.9558212238,257.3337590336,295.7748688336,-243.4544321147,-172.3871741462,-95.7959330353,285.2895961037,94.8861650795,-108.105843906,61.2752028823,16.0087521684,-108.0032418839,2.1635141511,12.8468600401,18.4865639959,1.1849616539,119035,3
49,-6626.0202776686,4760.6934748518,-1258.2088293361,-864.5252875306,-236.4467837189,-840.1410329078,760.4652734892,-250.7104728617,-203.7833150953,-261.7723391807,-19.9596869237,-64.4278886124,0.3342171607,11.3625515087,-1.3986222618,28.9727382892,38.4745825294,-8.0770667267,-2.8052437684,16.9571264058,113788,3
50,-12819.0366208762,3455.8262341811,-1039.2459348084,-279.9092054525,1274.5115614245,437.6582224568,108.0587921665,-474.8131644695,-511.8420322298,27.8361202066,-46.1396745148,145.4923859962,-150.3761062918,45.6326195517,-12.7922478209,22.2368139777,65.2063991013,-11.6370401742,-2.376201921,32.3110510427,141075,3
51,-4918.7970113913,3122.9928884876,-1857.9648315976,345.2421601784,731.205670158,-180.1127440466,694.7842186718,27.5107624205,-271.1133689108,151.9741647571,-137.2283720015,-149.2670848853,-141.4924814591,-71.1035121496,8.2707239854,-0.5279774062,50.7174082827,44.927425915,-7.7374048571,-2.9354349606,131954,3
52,2103.1649825784,-370.8774741664,2860.3234107026,827.7122055852,-1348.4620691067,-601.4475563571,-162.3580682935,-222.8546033759,215.4089411417,-160.808383362,-92.5969076837,-81.5728764801,76.9789837761,9.8983004855,21.7652523937,-41.135772999,29.0136286718,2.9250698923,-1.5567312465,-13.5254313851,310863,4
53,2031.4206330871,-505.3229989124,-447.5974397995,532.6110331609,-628.7956480917,805.9797700173,-264.9054968408,-203.3909672394,-89.0838972997,-42.4320439231,-226.6206207226,-45.2849816437,15.0551183089,-63.8500550558,0.6739772499,-0.338552279,7.0373793162,6.8358005769,-9.0972794544,-23.3237918506,124440,3
54,3346.188885723,665.6440488592,659.8172891968,-516.1552348901,-560.4588506825,721.0034079022,-100.9880336854,405.6928496179,186.0438891232,-186.7766089403,-5.6494228116,236.3331362898,161.9150815213,58.8919638208,-98.1751562407,57.0614818489,-26.7777980928,-14.4919931676,-19.0907437875,-17.6596908316,194291,3
55,5456.3642889476,438.5247315313,3719.1308550975,538.0607412679,458.8370249206,27.2770827792,-94.5780858931,-174.2859491052,94.4980949835,-106.860975947,-55.5561055105,-345.3764619442,66.0806840188,-57.3565212326,-9.9577539217,-41.8200713195,14.9081279662,-8.0757682088,-4.6113790743,-10.2450241615,1347975,4
56,2685.8973979546,-2378.8876561684,4201.4377266946,-865.3653943868,-785.7819083497,-108.722052503,-296.1330359296,23.9043928762,-70.3311005536,-40.2117782485,-9.4516925994,-325.3259715199,62.5129964923,112.1332909676,-32.1086189026,-7.6474828029,52.9557961185,-23.1287265877,9.1444445854,3.8454693255,390331,4
57,3116.5348578526,2689.014426993,3067.3649446261,-1361.0495942316,-509.0921726152,-345.6843516382,32.8021396535,417.4689692741,136.3267404547,-108.7956326392,-172.18246724,162.7552732672,152.3748071225,11.2354029214,34.4708168748,-0.8282160643,41.5389311266,2.8376806249,15.8607772537,-0.421825673,770508,4
58,4478.8822151924,-968.9584157451,826.932909531,654.9677985887,-1030.8208552956,-485.5136314986,91.7764291399,119.7560694845,-195.6728040208,168.4331027205,-38.2413759688,-99.9778120175,-34.1236050733,107.4815636843,5.154716718,-76.5070665339,-63.9541314112,-0.9076381227,-5.5295857898,-29.0615049955,376416,4
59,4591.2083935354,-2172.1850212671,2031.5747908771,495.8892094981,-527.9528018634,-1504.1301742837,-229.4488177379,74.4600317438,-157.939487684,-204.0718637314,96.275605915,-230.6545987304,78.7323782524,73.0453762328,-29.0497289382,9.0585151847,-32.6920705191,-12.4869305227,11.9786797652,1.3132321095,120090,3
60,8124.9116275156,-241.5115038618,-2421.8894866355,2055.1945942344,2126.6257995982,-625.5420630392,-395.6334137884,-1113.2230913534,-0.5870251541,220.0269519783,318.7122591437,-47.6619270747,-78.8189345146,43.9762223119,-53.2816217409,8.976338897,1.842266574,-36.1259600563,16.2021949818,9.2837513298,130487,3
61,10060.8575134394,-1462.6231356971,-1154.0729895125,-134.6478097743,442.6614271224,108.4461854582,-13.1973902675,9.8685777962,144.5256565863,-33.7193909374,155.5278911058,-179.2612043193,17.9475268686,62.4354342491,1.229651319,14.0420533254,20.4021308132,-6.9142507743,23.8382226145,6.6559259838,288551,3
62,4529.3244680409,-590.2894076743,-3695.9545228198,-351.558837408,-46.7830577256,230.6824508723,127.2705034419,-302.0280841876,42.2121769341,-198.3473334898,110.8774886664,103.9656418046,30.0118218436,139.1543615172,-93.2699631045,-36.2048491354,-35.7184085251,13.2024019695,9.6219886326,-3.6968899804,190435,3
63,7490.1850969883,-4411.0410651941,410.4747614472,-1804.1295983179,-602.718667491,1420.1458141907,88.9992279362,-449.1179108136,279.536702294,-185.5890733942,-42.4163787396,-88.3414633347,40.6317183825,56.4293893736,39.9247440862,-47.9777432455,-35.7989097008,4.7362260542,-31.3580568524,0.8261835786,292633,3
64,1798.3854067831,-786.3008924523,-1076.8331830939,373.1907608661,1234.9549404703,-193.1814558662,358.3128716169,346.7482026579,-55.962798697,301.5780734872,124.7323318885,-99.8625984847,1.9266318491,113.5783012212,18.2399050986,-34.1284585314,-13.7473192888,4.9725424729,-1.8307371383,2.2396423847,381448,4
65,4774.2939117001,-2086.2391165719,514.3895437951,-1019.3592217592,385.4523366733,1091.725620018,560.7329015631,-254.4109664723,-238.3011484868,-65.2877776958,-174.1055823015,10.5803482604,-11.6048114773,36.8903460156,-24.7107130443,-51.510682748,-19.1105111932,-11.2270731648,13.8506177882,-0.5066390113,532561,4
66,8723.5129330761,1229.3350365418,-635.4294550594,-603.807138343,-582.8382785329,-475.6943294997,441.7334563298,452.6223463813,0.8781603194,-8.5122156303,-123.4107351793,28.7551844326,92.6124089797,14.4964730011,-11.5183983157,27.2721984647,-33.1201513485,-18.2938441478,16.9143965745,8.4257655047,180615,3
67,-962.6346447919,-7172.1663889987,1072.5808214271,-385.417335967,601.5379904341,528.3568055597,341.62771831,-1186.3009265239,-264.3115182674,-409.4435320896,167.1920104693,-265.5016701347,-15.7006570457,-22.8149960762,-80.3347204448,-76.3133533116,34.3887719995,-7.73628037,-33.1591324648,3.4664536067,167876,3
68,821.1837174043,-5382.879728656,-363.0553896063,-655.1329213205,114.5983927889,1512.1545910895,-56.1434102557,-778.4000433323,-58.3433851336,-197.8286797351,201.0895879283,-88.4935291171,-19.3718504476,30.0185118997,148.9770995002,6.1292561177,34.7662893048,54.6445835509,7.2621754752,-3.1130196089,195758,3
